data;cdi
01/01/2019;0.54
01/02/2019;0.49
01/03/2019;0.47
01/04/2019;0.52
01/05/2019;0.54
01/06/2019;0.47
01/07/2019;0.57
01/08/2019;0.50
01/09/2019;0.46
01/10/2019;0.48
01/11/2019;0.38
01/12/2019;0.37
01/01/2018;0.5834
01/02/2018;0.4649
01/03/2018;0.5316
01/04/2018;0.5175
01/05/2018;0.5175
01/06/2018;"0.5175	"
01/07/2018;0.5422
01/08/2018;0.5669
01/09/2018;0.4681
01/10/2018;0.5430
01/11/2018;0.4936
01/12/2018;0.4936
01/01/2017;1.08
01/02/2017;0.86
01/03/2017;1.05
01/04/2017;0.79
01/05/2017;0.93
01/06/2017;0.81
01/07/2017;0.8
01/08/2017;0.8
01/09/2017;0.64
01/10/2017;0.64
01/11/2017;0.57
01/12/2017;0.54
01/01/2016;1.05
01/02/2016;1
01/03/2016;1.16
01/04/2016;1.05
01/05/2016;1.11
01/06/2016;1.16
01/07/2016;1.11
01/08/2016;1.21
01/09/2016;1.11
01/10/2016;1.05
01/11/2016;1.04
01/12/2016;1.12
