Tickers;CNPJ;Razão social
BBAS11, BBAS12, BBAS3;00.000.000/0001-91;BANCO DO BRASIL S.A.
BSLI3, BSLI4;00.000.208/0001-00;BRB-BANCO DE BRASILIA SA
ELET3, ELET5, ELET6;00.001.180/0001-26;CENTRAIS ELETRICAS BRASILEIRAS SA
CEBR3, CEBR5, CEBR6;00.070.698/0001-11;COMPANHIA ENERGÉTICA DE BRASÍLIA – CEB
CMSA3, CMSA4;00.272.185/0001-93;CIMS SA
TELB3, TELB4;00.336.701/0001-04;TELEC. BRASILEIRAS S.A. – TELEBRÁS
ATOM3;00.359.742/0001-08;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.
BIDI11, BIDI3, BIDI4;00.416.968/0001-01;BANCO INTER S.A.
STKF3;00.622.416/0001-41;STATKRAFT ENERGIAS RENOVÁVEIS S.A.
LTEL3B;00.743.065/0001-27;LITEL PARTICIPACOES SA
BTOW3;00.776.574/0001-56;B2W – COMPANHIA DIGITAL
ENGI11, ENGI12, ENGI3, ENGI4;00.864.214/0001-06;ENERGISA SA
VSPT3, VSPT4;00.924.429/0001-75;FERROVIA CENTRO ATLANTICA SA
CRTE3B, CRTE5B;00.938.574/0001-05;CONCESSIONARIA RIO-TERESOPOLIS SA
CIEL3;01.027.058/0001-91;CIELO S.A.
NEOE3;01.083.200/0001-18;NEOENERGIA S.A
LIPR3;01.104.937/0001-70;ELETROBRÁS PARTICIPAÇÕES S.A. – ELETROPAR
BBML3;01.107.327/0001-20;BBM LOGÍSTICA S.A.
MRSA3B, MRSA5B, MRSA6B;01.417.222/0001-77;MRS LOGÍSTICA S/A
GFSA3;01.545.826/0001-07;GAFISA SA
FIGE3, FIGE4;01.548.981/0001-79;INVESTIMENTOS BEMGE S.A.
BRFS3;01.838.723/0001-27;BRF S.A.
QVQP3B;01.851.771/0001-55;524 PARTICIPAÇOES SA
CARD3;01.896.779/0001-38;CSU CARDSYSTEM S/A
PEAB3, PEAB4;01.938.783/0001-11;CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA
OPTS3B;01.957.772/0001-89;SUL 116 PARTICIPAÇÕES S.A.
ECPR3, ECPR4;01.971.614/0001-83;EMP.NAC. DE COMÉRCIO, RÉDITO E PART. S.A. – ENCORPAR
OPSE3B;02.062.747/0001-08;SUDESTE SA
