CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.01;Receitas da Intermediação Financeira;120250344.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.01;Receitas da Intermediação Financeira;123105325.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.01.01;Receita de Juros;120250344.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.01.01;Receita de Juros;123105325.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.02;Despesas da Intermediação Financeira;-82160825.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.02;Despesas da Intermediação Financeira;-89253866.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.02.01;Despesas de Juros;-69536974.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.02.01;Despesas de Juros;-69306296.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.02.02;Despesa com Perdas em Empréstimos a Clientes;-12462801.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.02.02;Despesa com Perdas em Empréstimos a Clientes;-16959338.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.02.03;Despesa com Perdas em Empréstimos a instituições financeiras;-12523.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.02.03;Despesa com Perdas em Empréstimos a instituições financeiras;-1274326.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.02.04;Despesa com Perdas em títulos e valores mobiliários;-148527.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.02.04;Despesa com Perdas em títulos e valores mobiliários;-1713906.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.03;Resultado Bruto Intermediação Financeira;38089519.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.03;Resultado Bruto Intermediação Financeira;33851459.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04;Outras Despesas/Receitas Operacionais;-17675320.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04;Outras Despesas/Receitas Operacionais;-22711947.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.01;Receitas de Prestação de Serviços;0.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.01;Receitas de Prestação de Serviços;0.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.02;Despesas de Pessoal;-21092621.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.02;Despesas de Pessoal;-22797977.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.03;Outras Despesas Administrativas;-9381031.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.03;Outras Despesas Administrativas;-7523051.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.04;Despesas Tributárias;0.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.04;Despesas Tributárias;0.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.05;Outras Receitas Operacionais;33978144.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.05;Outras Receitas Operacionais;38895616.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.05.01;Receita Líquida de Tarifas e Comissões;21981863.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.05.01;Receita Líquida de Tarifas e Comissões;23716793.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.05.02;Ganhos/(Perdas) Líquidos sobre Ativos/Passivos Financeiros ao VJR;650202.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.05.02;Ganhos/(Perdas) Líquidos sobre Ativos/Passivos Financeiros ao VJR;668038.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.05.03;Ganhos/(Perdas) Líquidos sobre Ativos Financeiros ao VJORA;405452.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.05.03;Ganhos/(Perdas) Líquidos sobre Ativos Financeiros ao VJORA;-156663.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.05.04;Ganhos/(Perdas) Líquidos em Coligadas e Joint Ventures;3538318.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.05.04;Ganhos/(Perdas) Líquidos em Coligadas e Joint Ventures;4044413.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.05.05;Outras Receitas;9380209.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.05.05;Outras Receitas;11326286.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.05.06;Ganhos/(Perdas) em operação de câmbio e conversão moedas estrangeiras;-1977900.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.05.06;Ganhos/(Perdas) em operação de câmbio e conversão moedas estrangeiras;-703251.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.06;Outras Despesas Operacionais;-21179812.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.06;Outras Despesas Operacionais;-31286535.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.06.01;Contribuições, taxas e Outros Impostos;-5076848.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.06.01;Contribuições, taxas e Outros Impostos;-5002706.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.06.02;Amortização de Ativos Intangíveis;-1856261.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.06.02;Amortização de Ativos Intangíveis;-1627247.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.06.03;Provisões;-5437673.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.06.03;Provisões;-11805233.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.06.04;Depreciação;-1195908.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.06.04;Depreciação;-2359154.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.06.05;Outras Despesas;-7613122.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.06.05;Outras Despesas;-10492195.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.04.07;Resultado da Equivalência Patrimonial;0.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.04.07;Resultado da Equivalência Patrimonial;0.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.05;Resultado Antes dos Tributos sobre o Lucro;20414199.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.05;Resultado Antes dos Tributos sobre o Lucro;11139512.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;-5328098.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;7748806.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.06.01;Corrente;-3304217.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.06.01;Corrente;-4989835.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.06.02;Diferido;-2023881.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.06.02;Diferido;12738641.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.07;Resultado Líquido das Operações Continuadas;15086101.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.07;Resultado Líquido das Operações Continuadas;18888318.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2018-01-01;2018-12-31;3.08;Resultado Líquido das Operações Descontinuadas;0.00
00.000.000/0001-91;2019-12-31;2;BCO BRASIL S.A.;1023;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2019-01-01;2019-12-31;3.08;Resultado Líquido das Operações Descontinuadas;0.00
